Слиттер,Статус,Примечания
SL-01,Доступен,"Источник: Bus Req Doc.txt и План производства.xlsx, станок 1."
SL-02,Доступен,"Источник: Bus Req Doc.txt и План производства.xlsx, станок 2. Фольга планируется в конец дня; не ставится на SL-02 и SL-03."
SL-03,Доступен,"Источник: Bus Req Doc.txt и План производства.xlsx, станок 3. Фольга планируется в конец дня; не ставится на SL-02 и SL-03."
SL-04,Доступен,"Источник: Bus Req Doc.txt и План производства.xlsx, станок 4."
